IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      162.240.236.192,www.vps-10959947.municipionavirai.com.br,443,tcp,5.0,Medium,70,"Mitigation","Apache HTTP Server UserDir Sensitive Information Disclosure","An information leak occurs on Apache HTTP Server based
  web servers whenever the UserDir module is enabled. The vulnerability allows an external
  attacker to enumerate existing accounts by requesting access to their home directory
  and monitoring the response.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.10766,"CVE-2001-1013",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,40b892cd-cd16-4f1c-8479-49d8694ee877,"","1) Disable this feature by changing 'UserDir public_html' (or whatever) to
  'UserDir  disabled'.

  Or

  2) Use a RedirectMatch rewrite rule under Apache -- this works even if there
  is no such  entry in the password file, e.g.:
  RedirectMatch ^/~(.*)$ http://example.com/$1

  Or

  3) Add into httpd.conf:

  ErrorDocument 404 http://example.com/sample.html

  ErrorDocument 403 http://example.com/sample.html

  (NOTE: You need to use a FQDN inside the URL for it to work properly).","","","
Details:
Apache HTTP Server UserDir Sensitive Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.10766)
Version used: 2023-06-22T10:34:15Z
","","","DFN-CERT-2014-0315,CB-K14/0304",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,80,tcp,5.0,Medium,70,"Mitigation","Apache HTTP Server UserDir Sensitive Information Disclosure","An information leak occurs on Apache HTTP Server based
  web servers whenever the UserDir module is enabled. The vulnerability allows an external
  attacker to enumerate existing accounts by requesting access to their home directory
  and monitoring the response.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.10766,"CVE-2001-1013",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,7f87576b-9bc1-4699-b7ef-246e5e6929c3,"","1) Disable this feature by changing 'UserDir public_html' (or whatever) to
  'UserDir  disabled'.

  Or

  2) Use a RedirectMatch rewrite rule under Apache -- this works even if there
  is no such  entry in the password file, e.g.:
  RedirectMatch ^/~(.*)$ http://example.com/$1

  Or

  3) Add into httpd.conf:

  ErrorDocument 404 http://example.com/sample.html

  ErrorDocument 403 http://example.com/sample.html

  (NOTE: You need to use a FQDN inside the URL for it to work properly).","","","
Details:
Apache HTTP Server UserDir Sensitive Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.10766)
Version used: 2023-06-22T10:34:15Z
","","","DFN-CERT-2014-0315,CB-K14/0304",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,80,tcp,5.0,Medium,70,"Mitigation","Apache HTTP Server UserDir Sensitive Information Disclosure","An information leak occurs on Apache HTTP Server based
  web servers whenever the UserDir module is enabled. The vulnerability allows an external
  attacker to enumerate existing accounts by requesting access to their home directory
  and monitoring the response.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.10766,"CVE-2001-1013",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,c91e82bd-7f8a-4e45-9e9f-f135fb5fd4e7,"","1) Disable this feature by changing 'UserDir public_html' (or whatever) to
  'UserDir  disabled'.

  Or

  2) Use a RedirectMatch rewrite rule under Apache -- this works even if there
  is no such  entry in the password file, e.g.:
  RedirectMatch ^/~(.*)$ http://example.com/$1

  Or

  3) Add into httpd.conf:

  ErrorDocument 404 http://example.com/sample.html

  ErrorDocument 403 http://example.com/sample.html

  (NOTE: You need to use a FQDN inside the URL for it to work properly).","","","
Details:
Apache HTTP Server UserDir Sensitive Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.10766)
Version used: 2023-06-22T10:34:15Z
","","","DFN-CERT-2014-0315,CB-K14/0304",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,80,tcp,5.0,Medium,70,"Mitigation","Apache HTTP Server UserDir Sensitive Information Disclosure","An information leak occurs on Apache HTTP Server based
  web servers whenever the UserDir module is enabled. The vulnerability allows an external
  attacker to enumerate existing accounts by requesting access to their home directory
  and monitoring the response.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.10766,"CVE-2001-1013",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,ed82ad35-e683-4a2e-8001-2624f529c4a6,"","1) Disable this feature by changing 'UserDir public_html' (or whatever) to
  'UserDir  disabled'.

  Or

  2) Use a RedirectMatch rewrite rule under Apache -- this works even if there
  is no such  entry in the password file, e.g.:
  RedirectMatch ^/~(.*)$ http://example.com/$1

  Or

  3) Add into httpd.conf:

  ErrorDocument 404 http://example.com/sample.html

  ErrorDocument 403 http://example.com/sample.html

  (NOTE: You need to use a FQDN inside the URL for it to work properly).","","","
Details:
Apache HTTP Server UserDir Sensitive Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.10766)
Version used: 2023-06-22T10:34:15Z
","","","DFN-CERT-2014-0315,CB-K14/0304",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,2086,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://mail.vps-10959947.municipionavirai.com.br:2086/:pass
",1.3.6.1.4.1.25623.1.0.108440,"",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,14e1160a-e9f0-4010-94a7-b88c0dc8ef47,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,2086,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://vps-10959947.municipionavirai.com.br:2086/:pass
",1.3.6.1.4.1.25623.1.0.108440,"",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,22db119b-56f9-4538-9beb-3b400287c3f6,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,2082,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://www.vps-10959947.municipionavirai.com.br:2082/:pass
",1.3.6.1.4.1.25623.1.0.108440,"",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,46a6f744-fe8d-43fc-97fa-1072f4e01db6,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,2082,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://mail.vps-10959947.municipionavirai.com.br:2082/:pass
",1.3.6.1.4.1.25623.1.0.108440,"",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,767ff6cf-0670-441a-8eb3-9490de86eef2,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,2082,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://vps-10959947.municipionavirai.com.br:2082/:pass
",1.3.6.1.4.1.25623.1.0.108440,"",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,429a87c6-a611-4fa0-9859-aa9f7ecb4fd7,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
162.240.236.192,www.vps-10959947.municipionavirai.com.br,2095,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://www.vps-10959947.municipionavirai.com.br:2095/:pass
",1.3.6.1.4.1.25623.1.0.108440,"",2ac5a3cf-eb5b-4252-a5eb-ce2435a3bf05,"Navirai",2024-10-29T19:00:16Z,0720c794-2cc9-4e00-a8a6-a81b17d8bc63,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
